url,version,category,resolveddate,spl,description
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-05-22,"DBX-4140, DBX-4124",Taskserver failed to restart if default java is not version 8
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-05-22,DBX-4193,Input tries to index BLOB although they are not supported
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-05-22,DBX-3779,The connection fails when the hostname contains a blank
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-05-16,DBX-1443,dblookup/dbxlookup does not rename on alias fields that have space
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-05-16,"DBX-4081, DBX-4021",Timezone override in props.conf is ignored
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-05-12,DBX-4139,HEC won't be enabled when taskserver restarts
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-05-09,DBX-4111,"Number of exported events from a saved search using an output is limited to 500,000"
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-05-09,DBX-4091,When using a saved search in an output fields extracted during search time are not exported
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-05-08,DBX-3978,Warnings from searchbnf.conf file reported in splunkd.log
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-05-03,DBX-4089,Lack of statistics about scheduled output job
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-05-02,DBX-3749,Error messages of insufficient permission are inconsistent
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-04-27,DBX-3616,Output cannot be used with driver which do not support batch operations
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-04-26,DBX-4058,"If column selected as index time is not a timestamp, the current time is used"
